Date,Snow Water Equivalent (in) Start of Day Values
1991-02-18,1.0000000000000009
1992-03-09,1.0
1995-05-09,1.0
1995-12-31,1.0
1996-10-30,1.3000000000000003
1996-11-06,1.0999999999999996
1997-01-08,1.0
1997-01-11,1.0
1998-02-23,1.0999999999999996
1999-02-06,1.3000000000000007
2003-01-01,1.1999999999999997
2003-03-05,1.0999999999999996
2003-04-24,1.7999999999999998
2007-03-29,1.0
2008-03-31,1.0
2009-01-24,1.0
2010-04-07,1.6999999999999993
2010-12-21,1.0
2011-04-19,1.0999999999999996
2011-11-14,1.4000000000000001
2015-03-03,1.0
2016-05-09,1.0999999999999999
2017-01-03,1.0
2017-01-05,1.2999999999999998
2019-04-30,1.2
