Date,Snow Water Equivalent (in) Start of Day Values
1991-03-27,1.1000000000000014
1992-02-14,1.0999999999999996
1995-04-18,1.6999999999999993
1995-05-09,2.8000000000000007
1995-11-27,1.2000000000000002
1996-02-01,1.1999999999999993
1996-04-14,1.2000000000000028
1997-01-04,1.1999999999999993
1997-01-11,1.3000000000000007
1998-04-03,1.1000000000000014
1998-04-17,1.1999999999999993
1998-12-21,1.1999999999999997
1999-01-22,2.0
2003-03-18,1.0999999999999996
2003-04-24,1.5
2004-04-07,1.6000000000000014
2007-01-13,1.2000000000000002
2010-04-02,1.299999999999999
2010-04-24,1.5
2011-03-18,1.3000000000000007
2011-05-12,1.3000000000000007
2014-05-12,1.299999999999999
2014-10-13,1.1
2014-12-22,1.3999999999999995
2015-04-19,1.2999999999999998
2016-12-17,1.2000000000000002
2018-04-21,1.299999999999999
2019-01-19,1.0999999999999996
2019-02-06,1.0999999999999996
2019-03-14,1.1999999999999993
2019-05-22,1.3000000000000003
2019-06-22,1.4
2020-02-07,1.0999999999999996
