Date,Snow Water Equivalent (in) Start of Day Values
1991-03-06,2.200000000000003
1992-02-23,1.5
1993-11-13,1.5000000000000004
1995-05-01,1.4000000000000021
1995-05-09,2.200000000000003
1995-11-10,1.5
1996-01-01,1.4000000000000004
1996-01-18,1.5
1996-02-23,2.0
1996-04-14,2.3000000000000043
1997-01-10,1.5
1997-01-11,2.3999999999999986
1997-01-26,1.5
1999-01-22,1.9000000000000004
2003-04-24,2.8000000000000007
2004-11-01,1.4000000000000001
2005-03-21,1.5
2006-10-21,1.4000000000000001
2008-04-11,1.7000000000000028
2009-01-24,1.4000000000000004
2010-05-20,1.4000000000000021
2010-11-10,1.5
2011-02-06,1.5
2011-03-08,1.7000000000000028
2014-01-31,1.5999999999999979
2014-12-22,1.7999999999999998
2015-02-05,1.6000000000000014
2016-03-18,1.5
2017-05-19,1.3999999999999995
2018-04-07,1.5
2018-04-09,1.9000000000000021
2019-01-19,1.9000000000000004
2019-06-22,1.7
2020-02-08,1.8000000000000007
