Date,Snow Water Equivalent (in) Start of Day Values
1991-03-06,1.5999999999999979
1991-11-07,1.1999999999999997
1995-05-09,1.6999999999999993
1995-10-05,1.4
1996-01-01,1.200000000000001
1996-01-05,1.1000000000000014
1996-02-01,1.5
1996-02-19,1.1000000000000014
1996-02-21,1.2999999999999972
1996-02-22,1.2000000000000028
1996-02-23,1.1999999999999993
1996-12-06,1.200000000000001
1997-01-04,1.1000000000000014
1997-01-11,1.5
1997-03-21,1.4000000000000021
1997-04-10,1.3999999999999986
1997-04-28,1.1000000000000014
2003-04-24,1.9000000000000021
2003-11-02,1.2
2006-10-21,1.2000000000000002
2009-01-24,1.1999999999999993
2011-02-06,1.1000000000000014
2011-03-18,1.1000000000000014
2014-01-31,1.3000000000000007
2018-04-07,1.2999999999999998
2019-06-22,1.8
2020-02-07,1.5999999999999996
