Date,Snow Water Equivalent (in) Start of Day Values
1990-10-20,1.5999999999999999
1992-10-31,1.6
1992-12-29,1.4000000000000004
1994-02-09,1.5
1996-02-21,1.4000000000000021
1996-02-22,2.0
1996-11-23,1.4000000000000004
1997-01-11,1.8000000000000007
1999-04-24,1.5
2003-12-27,1.5
2004-12-10,1.4000000000000004
2004-12-30,2.299999999999999
2005-01-12,1.8000000000000007
2005-12-03,1.9000000000000004
2006-11-15,1.5999999999999996
2007-01-13,1.4000000000000004
2007-12-02,1.5999999999999996
2007-12-08,1.6000000000000005
2008-01-06,1.4000000000000004
2008-12-19,1.4000000000000004
2009-01-25,1.6000000000000014
2009-12-14,1.9000000000000004
2010-10-26,1.4
2010-11-22,1.7000000000000002
2010-12-20,1.4000000000000004
2010-12-21,2.200000000000001
2011-10-07,1.5999999999999999
2014-12-22,1.7999999999999998
2015-03-03,2.3000000000000007
2016-12-17,2.4000000000000004
2017-01-10,1.700000000000001
2018-03-24,1.6000000000000014
2019-02-06,1.5
2019-03-07,1.5999999999999979
