Date,Snow Water Equivalent (in) Start of Day Values
1991-02-14,1.5999999999999996
1991-03-03,1.5
1991-03-06,2.1999999999999993
1993-04-22,1.5
1995-11-10,1.8
1996-04-17,2.0
1996-04-24,1.7999999999999972
1996-12-06,2.5
1997-01-10,1.5
1997-01-11,2.0
1997-04-10,1.4000000000000021
1998-01-18,1.5999999999999996
2000-01-11,1.5
2000-12-16,1.6000000000000005
2003-02-22,1.4000000000000004
2004-12-10,2.5
2005-11-15,1.4000000000000004
2005-12-03,1.5999999999999996
2010-01-25,1.5
2011-01-18,1.6000000000000014
2011-05-22,1.8000000000000007
2014-02-09,1.5
2014-02-10,1.5999999999999979
2014-05-12,1.4000000000000021
2014-12-22,2.0
2015-02-05,1.4000000000000004
2017-01-05,1.8000000000000007
2017-01-10,1.5
2018-04-08,1.8999999999999986
2019-06-22,1.7
2020-02-08,3.0
2020-02-17,1.5
