Date,Snow Water Equivalent (in) Start of Day Values
1991-03-06,1.6999999999999993
1994-01-14,1.8999999999999995
1995-04-18,1.0
1995-04-26,1.0
1995-05-09,1.0
1996-02-21,1.0
1997-01-11,1.0999999999999996
1999-04-23,1.1999999999999997
2000-03-16,1.0
2002-11-10,1.0
2003-03-05,1.0
2003-04-24,1.5999999999999996
2010-12-21,1.0
2011-05-12,1.5
2012-12-19,1.0
2013-04-16,1.0
2014-01-31,1.1000000000000014
2014-05-12,1.0
2014-12-22,1.0
2017-01-10,1.0
2017-04-28,1.1
2019-06-22,1.3
2020-02-07,1.0
2020-03-20,1.0
