Date,Snow Water Equivalent (in) Start of Day Values
1990-11-06,1.4
1991-03-06,1.6999999999999993
1991-11-19,1.3
1991-11-22,1.2999999999999998
1995-11-28,1.3000000000000007
1996-01-05,2.3999999999999986
1996-01-18,1.3000000000000007
1996-10-30,1.5
1996-12-06,1.299999999999999
1997-01-11,1.8999999999999986
1999-01-22,1.3000000000000007
1999-03-29,1.3000000000000007
2000-09-22,1.5
2000-12-20,1.5999999999999996
2000-12-22,2.0
2001-11-23,1.3
2003-04-24,2.3999999999999986
2005-01-12,1.299999999999999
2007-12-02,1.5
2010-04-07,1.5
2010-05-01,1.4000000000000004
2011-05-22,2.3000000000000007
2013-10-05,1.3
2015-12-22,1.2999999999999998
2016-01-31,1.299999999999999
2016-12-17,1.5999999999999996
2017-01-05,1.5
2019-01-19,1.299999999999999
2019-05-29,1.2999999999999998
2020-02-08,1.6000000000000014
2020-02-17,1.4000000000000021
