Date,Snow Water Equivalent (in) Start of Day Values
1996-12-06,1.0
1997-01-04,1.0999999999999996
1997-01-11,1.3000000000000007
1998-01-18,1.1000000000000005
1999-04-23,1.1000000000000014
2004-12-10,1.3000000000000003
2006-11-15,1.0
2008-02-08,1.1999999999999993
2011-01-18,1.1999999999999993
2013-04-03,1.0
2013-04-16,1.0999999999999996
2014-04-14,1.0
2014-05-12,1.8000000000000007
2014-12-22,1.4000000000000004
2016-12-11,1.0
2016-12-17,1.0
2017-01-10,1.0
2017-05-19,1.200000000000001
2018-04-09,1.0
2019-06-22,1.2
2020-02-07,1.0
2020-02-08,1.9000000000000004
