Date,Snow Water Equivalent (in) Start of Day Values
1991-05-16,1.3999999999999986
1992-03-05,1.799999999999999
1993-11-23,1.5999999999999996
1995-05-09,2.5
1995-05-12,1.8000000000000007
1996-04-14,1.4000000000000021
2000-02-13,1.5999999999999996
2000-05-18,1.6
2002-12-17,1.6
2003-03-18,1.299999999999999
2003-03-19,2.1000000000000014
2003-04-24,1.6000000000000014
2005-01-11,1.700000000000001
2006-03-09,1.5
2006-10-18,1.4
2007-03-29,1.5000000000000018
2009-02-18,1.3999999999999986
2009-04-10,2.0
2010-03-24,1.8000000000000007
2010-04-07,2.1999999999999993
2010-05-20,1.3000000000000007
2011-04-19,1.3000000000000007
2014-05-12,2.9000000000000004
2015-03-03,1.4000000000000004
2015-04-19,1.4
2016-04-25,1.5999999999999979
2016-05-09,2.0
2017-01-12,1.4000000000000004
2017-11-18,1.2999999999999998
2019-03-14,1.3999999999999986
2019-05-01,1.299999999999999
