Date,Snow Water Equivalent (in) Start of Day Values
1991-03-06,1.1999999999999993
1993-04-21,1.1000000000000014
1994-03-13,2.700000000000001
1995-04-03,1.1000000000000014
1995-05-03,1.5
1995-05-09,1.2999999999999972
1995-11-13,1.1
1996-02-21,1.1000000000000014
1996-02-23,1.1000000000000014
1996-04-19,1.1000000000000014
1996-11-06,1.1
1997-01-11,1.1999999999999993
2000-02-11,1.1000000000000014
2000-12-11,1.1
2003-04-24,1.8000000000000007
2004-12-30,1.3999999999999995
2005-01-10,1.1000000000000014
2005-01-11,1.0999999999999996
2005-01-12,1.0999999999999996
2005-02-15,1.0999999999999996
2007-03-29,1.3000000000000007
2009-01-26,1.0999999999999996
2010-12-21,1.2000000000000002
2010-12-30,1.0999999999999996
2013-11-17,1.2000000000000002
2014-11-26,1.0999999999999996
2015-03-03,1.5999999999999996
2016-05-09,1.0999999999999996
2016-12-17,2.0
2017-01-03,1.0999999999999996
2017-02-28,1.1999999999999993
2017-10-02,1.2
2017-11-18,1.0999999999999999
2020-02-08,1.200000000000001
2020-02-17,1.1000000000000014
