Date,Snow Water Equivalent (in) Start of Day Values
2000-01-19,1.3000000000000007
2000-02-11,1.5
2003-04-24,1.9000000000000021
2005-01-12,1.5999999999999996
2005-02-15,1.5
2008-01-06,1.4000000000000004
2009-01-08,1.8000000000000007
2009-01-26,1.5
2009-04-01,1.3000000000000007
2009-12-14,1.5
2010-04-07,1.3999999999999986
2010-12-20,1.4000000000000004
2010-12-22,1.3000000000000007
2011-04-19,1.6000000000000014
2012-02-22,1.799999999999999
2014-11-26,1.5
2014-12-22,1.5999999999999996
2015-03-03,1.6999999999999993
2016-05-09,1.3000000000000007
2016-12-17,1.9000000000000004
2017-01-05,1.3000000000000007
2017-01-12,1.5999999999999979
2019-01-07,1.3000000000000007
2019-02-15,1.3000000000000007
2019-03-07,1.4000000000000021
2020-01-02,1.3000000000000007
2020-02-08,1.5
