Date,Snow Water Equivalent (in) Start of Day Values
1991-02-17,1.700000000000001
1996-02-21,1.5
1996-11-23,2.0999999999999996
1996-12-06,2.1999999999999993
1997-01-04,1.4000000000000021
1997-01-26,1.4999999999999964
1999-02-06,1.4000000000000021
2000-01-19,1.5
2000-02-13,1.5999999999999979
2003-04-24,1.8000000000000043
2003-11-04,1.5
2005-01-11,2.3000000000000007
2005-01-12,1.5
2005-04-29,1.6000000000000014
2005-12-03,2.0999999999999996
2006-01-01,1.4000000000000021
2006-11-15,1.7999999999999998
2009-04-01,1.6000000000000014
2009-12-14,1.8000000000000007
2010-04-01,1.5
2010-11-17,1.5
2010-12-20,2.099999999999998
2011-02-20,1.5
2011-04-19,1.8999999999999986
2014-05-12,2.0
2015-03-03,1.8000000000000007
2015-04-19,1.8999999999999986
2016-04-25,1.6999999999999957
2016-05-09,2.299999999999997
2016-12-17,2.2
2017-01-05,2.0
2017-01-10,2.0
2017-01-12,2.599999999999998
2017-01-24,1.4000000000000021
2018-11-05,1.5999999999999996
2018-11-25,1.6999999999999993
2019-01-07,1.9000000000000004
2019-03-07,1.5
2019-04-30,1.5
