Date,Snow Water Equivalent (in) Start of Day Values
1992-10-31,1.2999999999999998
1993-02-20,1.3999999999999986
1993-04-06,1.3000000000000043
1995-05-09,2.6000000000000014
1996-02-01,1.3000000000000007
1996-02-21,1.6999999999999993
1996-02-22,1.6999999999999993
1997-01-11,1.7000000000000028
2001-10-10,1.3
2001-11-23,1.4
2003-03-05,1.4000000000000021
2003-04-24,2.599999999999998
2005-11-15,1.2999999999999998
2005-12-03,1.8000000000000007
2006-10-21,1.2999999999999998
2006-11-15,1.6000000000000005
2008-04-11,1.3000000000000007
2010-10-26,1.3
2011-02-06,1.5999999999999979
2011-04-30,1.3999999999999986
2013-04-16,1.3999999999999986
2014-01-31,1.3999999999999986
2014-12-22,1.5
2015-12-23,1.8000000000000007
2016-12-17,2.5
2017-01-05,1.6000000000000014
2017-01-10,2.0999999999999996
2017-01-12,1.3000000000000007
2018-03-24,1.3000000000000007
2018-04-07,1.3999999999999986
2018-11-25,1.3000000000000007
2019-06-22,2.4000000000000004
2020-02-07,2.0
2020-03-20,1.3000000000000007
