Date,Snow Water Equivalent (in) Start of Day Values
1995-05-09,1.700000000000001
1996-10-30,1.4000000000000001
1996-12-06,1.1999999999999993
1998-01-14,1.2000000000000002
2000-02-13,1.3000000000000007
2003-04-24,1.9000000000000004
2005-01-11,1.2000000000000002
2006-11-11,1.3
2006-11-25,1.4
2007-02-12,1.1000000000000005
2009-02-18,1.3000000000000007
2009-04-10,1.6999999999999993
2010-04-02,1.3000000000000007
2010-04-07,2.0999999999999996
2016-04-25,1.2000000000000002
2016-05-09,2.2
2016-12-17,1.1
2017-01-05,1.1000000000000005
2017-01-12,1.3000000000000007
2018-11-05,1.1
2019-04-30,1.2000000000000002
2020-04-16,1.8000000000000007
