Date,Snow Water Equivalent (in) Start of Day Values
1989-12-15,1.9000000000000021
1991-03-03,1.9000000000000021
1995-11-10,2.0
1995-11-14,2.0
1995-11-27,2.0999999999999996
1996-02-22,1.9000000000000057
1996-12-06,2.0
1997-01-11,2.3000000000000043
1997-05-30,2.5
1998-01-18,2.3000000000000007
1998-10-29,2.2
1999-12-21,2.4000000000000004
2000-01-10,2.599999999999998
2003-04-24,2.3999999999999986
2004-12-10,2.6000000000000014
2005-12-03,2.700000000000001
2006-09-17,2.1
2006-10-21,2.1
2009-01-24,2.1999999999999993
2010-10-25,1.9999999999999996
2010-10-26,2.3000000000000007
2010-11-17,2.0
2010-12-20,1.9000000000000021
2011-01-18,2.5000000000000036
2011-04-19,2.0999999999999943
2011-05-22,2.799999999999997
2014-02-09,2.400000000000002
2014-02-10,2.5999999999999943
2014-12-22,2.5
2015-02-05,2.3999999999999986
2017-01-05,3.1999999999999993
2017-01-10,2.099999999999998
2017-01-12,2.1000000000000014
2017-05-19,2.0
2017-11-06,2.2
2018-03-24,2.1000000000000014
2018-04-07,2.200000000000003
2019-02-15,2.4000000000000057
2019-03-07,2.3000000000000043
2019-10-21,2.8000000000000003
2020-02-08,2.1999999999999993
2020-02-17,2.200000000000003
