Date,Snow Water Equivalent (in) Start of Day Values
1991-02-10,1.3000000000000007
1991-02-14,0.9000000000000004
1991-11-07,1.0000000000000002
1995-05-09,0.9000000000000004
1996-02-21,0.9000000000000004
1997-01-11,1.0
1997-04-10,1.0
2003-04-09,0.9000000000000004
2003-04-24,2.0
2003-11-03,0.9
2010-11-17,0.8999999999999999
2010-11-22,0.8000000000000003
2010-12-21,0.9000000000000004
2011-03-18,1.0
2013-01-29,0.9000000000000004
2013-04-16,0.8999999999999986
2014-11-26,0.8999999999999999
2014-12-22,1.4
2016-12-17,1.2000000000000002
2017-01-10,0.9000000000000004
2018-11-05,1.1
2019-05-29,1.2
2020-02-07,1.2999999999999998
2020-02-08,1.0999999999999996
