Date,Snow Water Equivalent (in) Start of Day Values
1991-05-16,1.3000000000000007
1992-03-06,1.200000000000001
1995-05-01,1.2999999999999972
1995-05-18,1.1999999999999993
1995-11-13,1.2999999999999998
1999-04-23,1.5
1999-04-30,2.1999999999999993
1999-05-03,1.3000000000000007
2000-01-11,1.2999999999999998
2000-03-16,1.2000000000000028
2000-05-18,1.5999999999999996
2001-05-03,1.3000000000000007
2002-05-24,1.2
2003-03-19,2.3000000000000007
2006-12-21,1.7999999999999998
2009-12-14,1.2000000000000002
2010-04-24,2.0
2010-05-12,1.1999999999999993
2011-02-06,1.3000000000000007
2011-05-12,1.2999999999999972
2011-05-19,1.3000000000000043
2013-04-16,1.5
2014-12-22,1.1999999999999993
2016-03-24,1.4000000000000021
2017-01-10,1.3999999999999986
2017-05-19,1.9000000000000004
2017-10-03,1.2
2018-05-04,1.3000000000000007
2019-03-07,1.1999999999999993
2019-03-14,1.8999999999999986
2019-04-30,1.1999999999999993
