Date,Snow Water Equivalent (in) Start of Day Values
1989-11-25,0.9
1989-11-27,0.9999999999999998
1990-02-18,0.9000000000000004
1990-10-20,1.5999999999999999
1990-12-14,1.3999999999999995
1990-12-20,1.0
1991-01-05,0.9000000000000004
1991-02-14,1.0999999999999979
1991-03-02,1.0
1991-03-06,1.0
1991-03-27,1.1000000000000014
1991-10-24,1.2
1992-02-14,1.0
1992-10-31,1.6
1992-11-02,0.9000000000000004
1992-12-29,1.4000000000000004
1993-01-03,0.9000000000000004
1993-01-07,0.9000000000000021
1993-01-08,1.0999999999999979
1993-01-12,1.0999999999999979
1993-11-13,0.9000000000000004
1994-02-09,1.5
1994-02-19,1.1999999999999993
1994-11-13,1.0
1995-02-15,1.3000000000000007
1995-03-06,1.0
1995-04-21,1.2000000000000028
1995-12-14,1.0999999999999996
1996-01-31,1.0
1996-02-01,1.1000000000000014
1996-02-21,1.4000000000000021
1996-02-22,2.0
1996-02-23,1.3999999999999986
1996-03-06,1.1000000000000014
1996-04-11,1.0
1996-04-14,1.0
1996-10-26,0.8999999999999999
1996-11-16,0.8999999999999995
1996-11-23,1.4000000000000004
1996-12-06,1.1999999999999993
1997-01-04,0.9000000000000004
1997-01-11,1.8000000000000007
1997-01-12,1.0
1997-01-13,1.0
1997-01-14,0.9000000000000021
1997-01-22,1.0
1997-01-26,1.0
1997-01-27,1.0
1997-04-30,1.0
1997-10-25,1.2000000000000002
1998-01-18,1.0999999999999996
1998-03-07,1.0
1998-03-27,1.0
1998-03-29,1.3999999999999986
1998-06-18,1.1999999999999993
1998-11-09,1.0
1998-12-21,0.9000000000000004
1999-04-24,1.5
1999-05-04,1.0
2000-01-19,0.8999999999999995
2000-02-13,1.0
2000-02-18,1.0
2000-03-10,0.9000000000000021
2000-12-11,1.0
2000-12-16,1.200000000000001
2001-04-07,0.9000000000000021
2001-04-09,1.1000000000000014
2001-05-04,1.0
2001-10-10,1.0
2001-11-23,0.8999999999999999
2002-03-09,0.9000000000000004
2003-03-05,1.3000000000000007
2003-04-24,1.1999999999999993
2003-11-11,0.9000000000000004
2003-11-14,0.9000000000000004
2003-11-18,1.0
2003-12-27,1.5
2004-01-03,1.0
2004-04-11,0.9000000000000021
2004-10-19,1.2
2004-11-28,1.2000000000000002
2004-12-10,1.4000000000000004
2004-12-30,2.299999999999999
2005-01-09,1.200000000000001
2005-01-10,1.0999999999999979
2005-01-11,1.1999999999999993
2005-01-12,1.8000000000000007
2005-06-11,1.1000000000000014
2005-11-15,0.9999999999999996
2005-12-03,1.9000000000000004
2006-03-11,1.1000000000000014
2006-03-30,1.1999999999999993
2006-10-18,1.0
2006-11-15,1.5999999999999996
2007-01-13,1.4000000000000004
2007-02-12,1.0999999999999996
2007-10-02,1.0
2007-12-01,1.2000000000000002
2007-12-02,1.5999999999999996
2007-12-08,1.6000000000000005
2008-01-06,1.4000000000000004
2008-01-28,1.1999999999999993
2008-03-31,1.3000000000000007
2008-11-05,1.1
2008-12-01,0.8999999999999995
2008-12-14,0.9000000000000004
2008-12-19,1.4000000000000004
2008-12-23,1.0
2008-12-26,1.299999999999999
2008-12-27,1.0
2009-01-25,1.6000000000000014
2009-02-24,1.0
2009-11-14,1.1999999999999997
2009-12-08,1.0
2009-12-09,1.0999999999999996
2009-12-14,1.9000000000000004
2010-04-02,1.2000000000000028
2010-04-07,1.0
2010-10-26,1.4
2010-11-17,0.9000000000000004
2010-11-22,1.7000000000000002
2010-12-20,1.4000000000000004
2010-12-21,2.200000000000001
2010-12-22,1.3000000000000007
2010-12-30,1.1999999999999993
2011-02-20,1.1999999999999993
2011-03-18,1.1999999999999993
2011-04-19,1.2999999999999972
2011-10-07,1.5999999999999999
2011-11-06,1.0
2011-11-14,1.1999999999999993
2012-01-22,1.3000000000000007
2012-02-29,1.3000000000000007
2012-11-11,1.1
2012-12-19,1.0999999999999996
2013-01-29,1.200000000000001
2013-04-16,1.1000000000000014
2013-09-28,1.0
2013-10-30,0.8999999999999999
2014-01-31,1.3000000000000007
2014-05-12,0.9000000000000021
2014-12-22,1.7999999999999998
2015-03-03,2.3000000000000007
2015-05-23,1.0
2015-12-23,1.200000000000001
2016-05-10,0.9000000000000021
2016-11-28,1.0
2016-12-11,1.0
2016-12-17,2.4000000000000004
2017-01-05,1.299999999999999
2017-01-10,1.700000000000001
2017-01-13,1.0
2017-01-24,0.9000000000000021
2017-02-12,1.1999999999999993
2018-01-21,1.1999999999999993
2018-02-13,1.299999999999999
2018-02-20,1.0
2018-03-24,1.6000000000000014
2018-11-25,0.8999999999999995
2019-02-04,1.0
2019-02-06,1.5
2019-02-15,1.0
2019-03-07,1.5999999999999979
2019-03-09,1.1000000000000014
2019-05-01,1.1000000000000014
2019-06-22,1.1999999999999993
2020-02-07,1.3000000000000007
2020-02-08,0.9000000000000004
