Date,Snow Water Equivalent (in) Start of Day Values
2004-10-25,1.4
2004-10-30,1.2000000000000002
2004-12-09,1.4000000000000004
2004-12-10,1.0999999999999996
2005-01-11,2.299999999999999
2005-01-12,1.4000000000000021
2005-02-01,1.1999999999999993
2005-12-03,1.3999999999999995
2005-12-30,1.299999999999999
2006-01-01,1.5999999999999996
2006-01-19,1.2000000000000028
2006-04-19,1.1000000000000014
2006-10-21,1.0999999999999999
2006-11-15,1.1
2007-02-12,1.3000000000000007
2007-12-01,1.0999999999999999
2007-12-02,1.2000000000000002
2007-12-08,1.2000000000000002
2007-12-21,1.1000000000000005
2008-12-23,1.1999999999999993
2009-01-24,1.6000000000000014
2009-01-25,1.0999999999999979
2009-01-26,1.1000000000000014
2009-10-12,1.0999999999999999
2010-04-01,1.1999999999999993
2010-04-02,1.5
2010-04-07,1.9000000000000021
2010-11-17,1.3999999999999995
2010-11-22,1.0999999999999996
2010-12-20,1.8999999999999986
2010-12-22,1.1000000000000014
2010-12-30,1.5
2011-01-20,1.0999999999999979
2011-03-07,1.0999999999999979
2011-04-19,1.6000000000000014
2011-04-21,1.1000000000000014
2011-11-14,1.9
2012-02-22,1.5999999999999979
2012-12-16,1.2000000000000002
2013-01-31,1.0999999999999996
2013-04-17,1.5
2013-04-21,1.1000000000000014
2013-11-17,1.1999999999999997
2014-01-14,1.3000000000000007
2014-01-30,1.5
2014-02-09,1.3000000000000007
2014-11-23,1.4000000000000004
2014-11-26,1.4000000000000004
2014-12-22,1.5
2015-02-05,1.4000000000000004
2015-03-03,1.6000000000000014
2015-04-19,1.5
2016-01-31,1.1999999999999993
2016-03-17,1.1000000000000014
2016-04-25,1.6999999999999993
2016-05-09,2.200000000000003
2016-11-28,1.6
2016-12-17,2.499999999999999
2017-01-05,1.299999999999999
2017-01-09,1.0999999999999996
2017-01-10,1.4000000000000021
2017-01-12,2.6000000000000014
2017-11-05,1.2
2017-12-24,1.1999999999999993
2018-03-24,1.1000000000000014
2018-11-05,1.7000000000000002
2018-11-25,1.4000000000000004
2019-01-17,1.0999999999999996
2019-02-14,1.4000000000000021
2019-02-15,1.7999999999999972
2019-03-07,1.6000000000000014
2019-03-09,1.1000000000000014
2019-04-30,1.6999999999999993
2019-05-01,1.2000000000000028
2019-10-21,1.2
2019-12-13,1.1000000000000014
2020-01-02,1.5
2020-02-17,1.5
2020-04-16,1.3999999999999986
