Date,Snow Water Equivalent (in) Start of Day Values
1989-11-15,0.5
1989-12-16,0.5
1990-03-14,0.5
1990-03-19,0.5
1990-10-20,0.7
1990-11-30,0.6000000000000001
1990-12-02,0.6999999999999997
1990-12-25,0.6999999999999997
1991-02-10,1.3000000000000007
1991-02-13,0.5999999999999996
1991-02-14,0.9000000000000004
1991-03-06,0.5999999999999996
1991-03-22,0.6000000000000014
1991-05-01,0.5
1991-10-24,0.5
1991-11-06,0.5
1991-11-07,1.0000000000000002
1991-12-31,0.6000000000000005
1992-03-03,0.5
1992-03-25,0.5
1992-10-31,0.5
1993-02-20,0.5
1993-04-03,0.6000000000000014
1993-11-13,0.7
1994-01-05,0.5
1994-04-08,0.5
1994-04-26,0.5
1994-11-17,0.8
1994-12-28,0.6000000000000001
1995-02-15,0.5
1995-03-06,0.5
1995-05-01,0.6000000000000014
1995-05-03,0.5
1995-05-09,0.9000000000000004
1995-10-23,0.8
1995-11-11,0.5999999999999999
1995-11-13,0.5999999999999999
1995-11-19,0.5
1995-12-31,0.6000000000000001
1996-01-01,0.5999999999999996
1996-01-05,0.5
1996-01-31,0.5999999999999996
1996-02-19,0.7999999999999989
1996-02-21,0.9000000000000004
1996-02-22,0.5
1996-02-23,0.5999999999999996
1996-03-18,0.5999999999999996
1996-04-14,0.7000000000000011
1996-11-04,0.6000000000000001
1996-11-16,0.5
1996-12-17,0.7000000000000002
1996-12-23,0.5
1997-01-04,0.7999999999999998
1997-01-11,1.0
1997-01-12,0.6000000000000014
1997-04-10,1.0
1997-04-16,0.5999999999999996
1997-10-25,0.8
1998-01-18,0.7999999999999998
1998-04-17,0.5
1998-11-03,0.5
1998-12-21,0.7000000000000002
1999-01-22,0.5999999999999996
1999-04-23,0.5
1999-04-27,0.6000000000000005
2000-04-16,0.5
2000-12-16,0.5
2001-03-15,0.5999999999999996
2001-03-29,0.6999999999999993
2001-04-23,0.5
2001-11-23,0.5
2002-02-21,0.5
2002-11-10,0.5
2002-11-25,0.5
2003-02-22,0.5
2003-04-09,0.9000000000000004
2003-04-23,0.5
2003-04-24,2.0
2003-04-25,0.5999999999999996
2003-11-03,0.9
2004-03-30,0.5
2004-09-22,0.6000000000000001
2004-11-28,0.6000000000000001
2004-12-10,0.5
2004-12-30,0.7999999999999998
2005-01-12,0.7000000000000002
2005-11-12,0.5
2005-11-15,0.8
2005-12-07,0.6000000000000005
2006-02-02,0.5999999999999996
2006-02-03,0.5
2006-02-04,0.6000000000000014
2006-10-21,0.7
2006-10-26,0.5
2006-11-15,0.5
2006-12-18,0.5
2007-01-13,0.5999999999999996
2007-04-09,0.6000000000000014
2007-04-11,0.5
2007-12-01,0.5
2007-12-02,0.5999999999999999
2007-12-07,0.5
2008-01-29,0.5999999999999996
2008-02-08,0.5999999999999996
2008-03-31,0.7000000000000011
2008-04-08,0.5
2008-11-30,0.5
2008-12-01,0.6000000000000001
2008-12-19,0.5
2008-12-26,0.5999999999999996
2008-12-27,0.5
2009-01-29,0.5
2009-04-04,0.5999999999999996
2009-04-05,0.5
2009-12-14,0.6000000000000001
2010-04-24,0.7000000000000002
2010-11-17,0.8999999999999999
2010-11-22,0.8000000000000003
2010-12-21,0.9000000000000004
2011-01-18,0.5999999999999996
2011-03-18,1.0
2011-04-04,0.5
2011-10-26,0.6
2012-02-29,0.6000000000000005
2012-11-11,0.5
2012-12-11,0.5
2012-12-19,0.6999999999999997
2013-01-29,0.9000000000000004
2013-01-31,0.5
2013-02-10,0.5
2013-03-10,0.5
2013-04-03,0.5
2013-04-16,0.8999999999999986
2014-01-02,0.5
2014-01-11,0.5
2014-01-13,0.5999999999999996
2014-01-31,0.6999999999999993
2014-04-14,0.6999999999999993
2014-05-12,0.6000000000000001
2014-11-26,0.8999999999999999
2014-12-22,1.4
2015-11-17,0.5
2016-03-24,0.5
2016-12-11,0.5
2016-12-17,1.2000000000000002
2017-01-10,0.9000000000000004
2017-04-21,0.5
2017-04-25,0.6
2017-04-28,0.5
2017-05-19,0.7000000000000001
2017-10-03,0.6
2017-11-22,0.5
2017-12-26,0.6000000000000001
2018-02-13,0.5999999999999996
2018-05-04,0.6
2018-10-12,0.6000000000000001
2018-11-05,1.1
2019-02-06,0.5
2019-02-15,0.5
2019-03-07,0.5
2019-03-09,0.6999999999999993
2019-03-14,0.6000000000000014
2019-04-30,0.6000000000000001
2019-05-21,0.5
2019-05-22,0.5
2019-05-29,1.2
2019-12-13,0.5
2019-12-14,0.5
2020-02-07,1.2999999999999998
2020-02-08,1.0999999999999996
2020-03-20,0.5
2020-04-03,0.5
