Date,Snow Water Equivalent (in) Start of Day Values
1989-11-27,1.0
1990-01-31,1.0
1990-04-28,1.1999999999999993
1990-10-20,1.0
1991-02-17,1.700000000000001
1991-03-06,1.1999999999999993
1992-03-05,1.3999999999999986
1992-04-19,1.2000000000000028
1992-10-31,1.4
1992-11-02,1.0
1992-12-29,1.0
1993-01-17,1.1000000000000014
1993-02-20,1.3999999999999986
1993-03-11,1.0
1993-03-15,1.1000000000000014
1993-03-18,1.2999999999999972
1993-06-04,1.1999999999999993
1993-06-08,1.3000000000000007
1993-11-19,1.0
1994-01-04,1.4000000000000004
1994-01-07,1.0
1994-02-09,1.1999999999999993
1994-04-26,1.2000000000000028
1994-12-06,1.200000000000001
1994-12-07,1.0
1995-03-20,1.1000000000000014
1995-05-08,1.1000000000000014
1995-05-09,1.1999999999999957
1995-11-01,1.2999999999999998
1995-11-10,1.2000000000000002
1995-12-31,1.0
1996-01-28,1.0999999999999979
1996-02-21,1.5
1996-02-22,1.2999999999999972
1996-04-13,1.0
1996-04-14,1.1000000000000014
1996-04-19,1.2999999999999972
1996-11-06,1.0999999999999996
1996-11-23,2.0999999999999996
1996-12-02,1.0
1996-12-06,2.1999999999999993
1996-12-12,1.1000000000000014
1996-12-23,1.1999999999999993
1996-12-28,1.3999999999999986
1997-01-04,1.4000000000000021
1997-01-10,1.0
1997-01-24,1.3000000000000007
1997-01-26,1.4999999999999964
1997-04-29,1.0
1997-04-30,1.3999999999999986
1997-05-02,1.3999999999999986
1997-10-25,1.3
1998-01-12,1.0999999999999996
1998-01-14,1.0999999999999996
1998-01-18,1.4000000000000004
1998-02-23,1.1999999999999993
1998-10-04,1.2
1998-10-29,1.2999999999999998
1998-11-09,1.1000000000000005
1998-11-30,1.1999999999999993
1999-01-19,1.0
1999-01-25,1.0
1999-02-06,1.4000000000000021
1999-04-09,1.0
1999-04-26,1.0
1999-05-03,1.0
1999-06-07,1.1000000000000014
2000-01-19,1.5
2000-02-13,1.5999999999999979
2000-10-26,1.0
2000-12-11,1.0
2000-12-15,1.0
2001-04-07,1.1999999999999993
2001-04-09,1.3999999999999986
2001-12-07,1.0000000000000009
2002-03-08,1.0
2002-10-04,1.0
2002-11-09,1.0999999999999996
2003-02-14,1.0
2003-03-05,1.2000000000000028
2003-03-18,1.3000000000000007
2003-03-20,1.1999999999999993
2003-03-30,1.1999999999999993
2003-04-24,1.8000000000000043
2003-11-04,1.5
2003-11-11,1.0
2003-11-18,1.3000000000000007
2003-12-31,1.0
2004-04-22,1.3000000000000007
2004-10-20,1.0999999999999999
2004-10-25,1.0000000000000004
2004-12-09,1.3000000000000007
2004-12-10,1.0999999999999996
2004-12-30,1.3000000000000007
2005-01-10,1.3000000000000007
2005-01-11,2.3000000000000007
2005-01-12,1.5
2005-02-15,1.1000000000000014
2005-04-28,1.2999999999999972
2005-04-29,1.6000000000000014
2005-05-08,1.2000000000000028
2005-12-03,2.0999999999999996
2005-12-30,1.2999999999999972
2006-01-01,1.4000000000000021
2006-02-01,1.1000000000000014
2006-10-21,1.3000000000000003
2006-11-15,1.7999999999999998
2007-02-12,1.0999999999999979
2007-02-20,1.1000000000000014
2007-03-29,1.0
2007-12-01,1.3000000000000007
2007-12-02,1.3999999999999995
2007-12-08,1.3000000000000007
2008-03-31,1.1999999999999957
2008-04-11,1.2999999999999972
2008-11-05,1.1
2008-12-19,1.0
2008-12-23,1.3000000000000007
2009-01-24,1.0999999999999979
2009-01-25,1.3000000000000007
2009-01-26,1.1000000000000014
2009-03-25,1.0
2009-04-01,1.6000000000000014
2009-10-01,1.0
2009-10-15,1.0
2009-11-13,1.1999999999999993
2009-12-14,1.8000000000000007
2010-04-01,1.5
2010-04-02,1.3999999999999986
2010-10-25,1.0999999999999999
2010-11-17,1.5
2010-11-22,1.2000000000000002
2010-12-20,2.099999999999998
2010-12-21,1.3000000000000007
2010-12-22,1.1999999999999993
2010-12-30,1.3000000000000007
2011-02-20,1.5
2011-03-07,1.0
2011-04-10,1.1000000000000014
2011-04-12,1.2999999999999972
2011-04-19,1.8999999999999986
2011-04-21,1.2000000000000028
2011-04-22,1.1000000000000014
2011-11-13,1.1000000000000005
2011-11-14,1.3999999999999995
2012-01-22,1.0999999999999996
2012-02-22,1.1999999999999993
2012-12-16,1.2999999999999998
2013-01-31,1.0
2013-04-17,1.1999999999999993
2013-11-17,1.2000000000000002
2014-01-30,1.3000000000000007
2014-02-09,1.1999999999999993
2014-03-01,1.0
2014-04-01,1.0
2014-05-11,1.2999999999999972
2014-05-12,2.0
2014-11-23,1.0
2014-11-26,1.0
2014-12-22,1.3999999999999986
2015-02-05,1.0
2015-03-03,1.8000000000000007
2015-04-19,1.8999999999999986
2015-12-22,1.200000000000001
2016-01-31,1.1000000000000014
2016-03-15,1.1000000000000014
2016-04-11,1.2000000000000028
2016-04-25,1.6999999999999957
2016-04-27,1.2000000000000028
2016-05-09,2.299999999999997
2016-11-28,1.1999999999999997
2016-12-17,2.2
2017-01-05,2.0
2017-01-10,2.0
2017-01-11,1.0
2017-01-12,2.599999999999998
2017-01-24,1.4000000000000021
2017-02-12,1.0
2017-05-19,1.2000000000000028
2017-11-05,1.2999999999999998
2017-11-18,1.2999999999999998
2017-12-24,1.1000000000000005
2018-01-13,1.0
2018-03-24,1.0
2018-11-05,1.5999999999999996
2018-11-25,1.6999999999999993
2019-01-07,1.9000000000000004
2019-01-17,1.1000000000000014
2019-02-15,1.3999999999999986
2019-03-07,1.5
2019-03-09,1.1000000000000014
2019-03-14,1.3999999999999986
2019-04-30,1.5
2019-05-01,1.2999999999999972
2019-05-24,1.0
2019-10-21,1.1
2019-11-26,1.0
2019-12-13,1.0
2020-01-02,1.1999999999999993
2020-01-13,1.0
2020-02-08,1.0
2020-02-17,1.2000000000000028
2020-04-16,1.1999999999999957
